"","Date","HomeTeam","AwayTeam","FTHG","FTAG","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","WHH","WHD","WHA"
"53","29/09/12","Man United","Tottenham",2,3,1.57,4,6,1.55,3.75,6.25,1.55,3.75,6.25,1.45,3.9,6.5,1.53,4,6,1.62,3.6,6
"46","23/09/12","Liverpool","Man United",1,2,2.7,3.3,2.63,2.75,3.4,2.6,2.75,3.4,2.6,2.65,3.2,2.45,2.7,3.2,2.25,2.8,2.88,2.8
"47","23/09/12","Man City","Arsenal",1,1,1.75,3.6,4.75,1.8,3.6,5,1.8,3.6,5,1.75,3.4,4.3,1.62,3.5,4.5,1.8,3.5,4.5
"45","22/09/12","Wigan","Fulham",1,2,2.4,3.3,3,2.3,3.2,3.1,2.3,3.2,3.1,2.4,3.2,2.7,2.38,3.2,2.6,2.5,3,3
"33","15/09/12","Man United","Wigan",4,0,1.25,6,12,1.25,5.5,11.5,1.25,5.5,11.5,1.2,5.5,12,1.22,6,12,1.29,5,12
"27","02/09/12","Liverpool","Arsenal",0,2,2,3.5,3.75,2.05,3.4,3.75,2.05,3.4,3.75,2.1,3.2,3.2,2.1,3.2,3.6,2.05,3.4,3.6
"19","26/08/12","Liverpool","Man City",2,2,3.1,3.4,2.3,3,3.5,2.35,3,3.5,2.35,2.75,3.2,2.35,3.1,3.3,2.25,2.9,3.4,2.38
"12","25/08/12","Aston Villa","Everton",1,3,2.9,3.4,2.4,2.95,3.3,2.45,2.95,3.3,2.45,2.5,3.2,2.6,2.75,3.3,2.5,2.88,3.2,2.5
"14","25/08/12","Man United","Fulham",3,2,1.29,5.5,11,1.28,5.25,10,1.28,5.25,10,1.25,5,10,NA,NA,NA,1.35,4.8,9
"10","20/08/12","Everton","Man United",1,0,4.33,3.6,1.83,4.6,3.5,1.83,4.6,3.5,1.83,3.8,3.4,1.85,4,3.6,1.85,4.33,3.3,1.91
"9","19/08/12","Wigan","Chelsea",0,2,6,3.75,1.62,6,3.9,1.55,6,3.9,1.55,5.5,3.9,1.5,6.5,3.8,1.53,5.5,3.6,1.67
"378","13/05/12","Tottenham","Fulham",2,0,1.4,4.5,8.5,1.4,4.4,7.75,1.4,4.5,7,1.37,4.4,7.3,1.4,4.5,7.5,1.4,4.2,9
"370","08/05/12","Liverpool","Chelsea",4,1,2.1,3.5,3.4,2.1,3.4,3.3,2.1,3.4,3.25,2.25,3.3,2.8,2.2,3.4,3.2,2.15,3.2,3.5
"362","06/05/12","Aston Villa","Tottenham",1,1,4.2,3.75,1.83,4.25,3.6,1.8,3.75,3.4,1.9,4,3.4,1.8,4,3.4,1.91,4.33,3.2,1.91
"357","01/05/12","Liverpool","Fulham",0,1,1.62,4,5.5,1.62,3.9,5,1.6,3.75,5.5,1.55,3.7,5.4,1.62,3.6,6,1.6,4,5.5
"3561","30/04/12","Man City","Man United",1,0,2.1,3.5,3.4,2.15,3.4,3.4,2.15,3.3,3.25,2.25,3.2,3.2,2.2,3.3,3.25,2.2,3.3,3.25
"347","28/04/12","Everton","Fulham",4,0,1.83,3.5,4.5,1.8,3.4,4.5,1.85,3.5,4,1.8,3.4,4,1.83,3.4,4.5,1.8,3.5,4.6
"3441","22/04/12","Man United","Everton",4,4,1.3,5,11,1.3,5,10,1.3,5,9,1.25,5,10,1.29,5,11,1.3,5,11
"3361","21/04/12","Arsenal","Chelsea",0,0,2,3.6,3.6,1.95,3.6,3.9,1.9,3.4,3.8,1.9,3.4,3.6,2,3.5,3.6,2,3.5,3.6
"340","21/04/12","Fulham","Wigan",2,1,1.91,3.6,4,1.83,3.7,4.25,1.85,3.5,4,1.85,3.2,4,1.91,3.4,4,1.91,3.5,4
"3351","16/04/12","Arsenal","Wigan",1,2,1.25,6,12,1.26,5.25,11.5,1.25,5.5,11,1.3,4.8,8.5,1.2,5.5,11,1.29,5,11
"334","15/04/12","Man United","Aston Villa",4,0,1.22,6.5,13,1.22,5.75,13,1.22,6,12,1.25,5,10,1.22,6,12,1.25,5.5,12
"3281","11/04/12","Wigan","Man United",1,0,9,4.75,1.36,9,4.6,1.35,9,5,1.3,7.3,4.5,1.35,9,5,1.33,9,4.5,1.36
"322","09/04/12","Fulham","Chelsea",1,1,3.5,3.4,2.1,3.4,3.3,2.1,3.4,3.25,2.1,3.1,3.3,2.1,3.6,3.3,2.1,3.4,3.2,2.2
"3181","08/04/12","Arsenal","Man City",1,0,2.4,3.4,2.88,2.45,3.6,2.75,2.45,3.3,2.75,2.3,3.3,2.75,2.5,3.2,2.9,2.5,3,3
"312","07/04/12","Chelsea","Wigan",2,1,1.25,6,12,1.25,5.5,11.5,1.25,5.5,11,1.22,5.3,11,1.25,5.5,12,1.29,5,12
"313","07/04/12","Liverpool","Aston Villa",1,1,1.44,4.33,7.5,1.44,4.33,7,1.45,4,7.5,1.5,3.8,5.7,1.44,4,8,1.44,4.33,7
"300","31/03/12","Aston Villa","Chelsea",2,4,4.5,3.5,1.83,4.2,3.6,1.88,4.25,3.4,1.83,3.8,3.3,1.87,4,3.4,1.91,4.5,3.4,1.85
"299","26/03/12","Man United","Fulham",1,0,1.22,6,15,1.22,5.75,13,1.25,5.25,11,1.25,5,10,1.22,6,13,1.25,5.5,12
"290","24/03/12","Arsenal","Aston Villa",3,0,1.33,5,10,1.31,5,9.5,1.35,4.5,9,1.3,4.8,8.5,1.36,4.5,9,1.36,4.33,10
"292","24/03/12","Chelsea","Tottenham",0,0,1.83,3.6,4.33,1.83,3.7,4.25,1.85,3.5,4,1.9,3.3,3.7,1.91,3.5,4,1.91,3.3,4.33
"293","24/03/12","Liverpool","Wigan",1,2,1.29,5.5,11,1.25,5.25,12.5,1.3,5,9,1.35,4.5,7.3,1.29,5,11,1.33,4.5,11
"286","21/03/12","Everton","Arsenal",0,1,3,3.4,2.3,3.1,3.4,2.3,2.9,3.25,2.35,3,3.2,2.2,3,3.25,2.38,3,3.2,2.4
"287","21/03/12","Man City","Chelsea",2,1,1.91,3.6,4,1.87,3.6,4.2,1.9,3.5,3.75,1.8,3.4,4,1.83,3.5,4.33,1.91,3.4,4
"2801","13/03/12","Liverpool","Everton",3,0,1.73,3.4,5.5,1.7,3.6,5.5,1.75,3.5,4.5,1.8,3.4,4,1.8,3.5,4.5,1.8,3.25,5
"270","10/03/12","Aston Villa","Fulham",1,0,2.5,3.25,2.88,2.35,3.2,3,2.4,3.2,2.9,2.4,3.2,2.7,2.3,3.3,3,2.5,3.1,2.9
